Datetime;Index Name;Index Value
2022-11-01 14:03:53.722223;Hang Seng Index;15,455.27
2022-11-01 15:03:53.555665;Hang Seng Index;15,455.27
2022-11-01 16:04:00.673278;Hang Seng Index;15,455.27
2022-11-01 17:03:41.091288;Hang Seng Index;15,455.27
2022-11-01 18:04:12.518204;Hang Seng Index;15,455.27
2022-11-01 19:04:02.761945;Hang Seng Index;15,455.27
2022-11-02 07:43:39.873998;Hang Seng Index;15,827.17
2022-11-02 08:03:45.199084;Hang Seng Index;15,827.17
2022-11-02 09:03:42.486458;Hang Seng Index;15,827.17
2022-11-02 10:03:47.781356;Hang Seng Index;15,827.17
2022-11-02 11:04:16.988110;Hang Seng Index;15,827.17
2022-11-02 12:03:27.895299;Hang Seng Index;15,827.17
2022-11-02 13:03:51.692415;Hang Seng Index;15,827.17
2022-11-02 14:03:44.466413;Hang Seng Index;15,827.17
2022-11-02 15:03:51.067235;Hang Seng Index;15,827.17
2022-11-02 16:03:30.635353;Hang Seng Index;15,827.17
2022-11-02 17:03:44.523396;Hang Seng Index;15,827.17
2022-11-02 18:03:34.132216;Hang Seng Index;15,827.17
2022-11-02 19:03:34.437355;Hang Seng Index;15,827.17
2022-11-02 20:03:37.116251;Hang Seng Index;15,827.17
2022-11-02 21:03:44.901280;Hang Seng Index;15,827.17
2022-11-02 22:03:36.827784;Hang Seng Index;15,827.17
2022-11-02 23:03:50.364918;Hang Seng Index;15,827.17
2022-11-03 00:03:36.583743;Hang Seng Index;15,827.17
2022-11-03 01:03:45.848098;Hang Seng Index;15,827.17
2022-11-03 02:03:40.655182;Hang Seng Index;15,580.23
2022-11-03 03:03:47.074962;Hang Seng Index;15,462.75
2022-11-03 04:03:44.702878;Hang Seng Index;15,335.95
2022-11-03 07:59:00.968366;Hang Seng Index;15,358.39
2022-11-03 08:03:51.889385;Hang Seng Index;15,355.74
2022-11-03 10:54:44.497800;Hang Seng Index;15,339.49
2022-11-03 11:04:19.512717;Hang Seng Index;15,339.49
2022-11-03 12:04:27.221274;Hang Seng Index;15,339.49
2022-11-03 13:04:22.446968;Hang Seng Index;15,339.49
2022-11-03 14:04:21.149544;Hang Seng Index;15,339.49
2022-11-03 15:04:24.553889;Hang Seng Index;15,339.49
2022-11-03 16:04:15.443566;Hang Seng Index;15,339.49
2022-11-03 17:04:35.903056;Hang Seng Index;15,339.49
2022-11-03 18:04:18.788405;Hang Seng Index;15,339.49
2022-11-03 19:04:23.110525;Hang Seng Index;15,339.49
2022-11-03 20:04:27.412421;Hang Seng Index;15,339.49
2022-11-03 21:04:15.039202;Hang Seng Index;15,339.49
2022-11-03 22:04:13.200197;Hang Seng Index;15,339.49
2022-11-03 23:04:06.477095;Hang Seng Index;15,339.49
2022-11-04 00:04:18.599072;Hang Seng Index;15,339.49
2022-11-04 01:04:20.892762;Hang Seng Index;15,339.49
2022-11-04 02:04:28.136160;Hang Seng Index;15,734.18
2022-11-04 03:04:22.664558;Hang Seng Index;16,018.31
2022-11-04 04:04:18.440157;Hang Seng Index;16,203.12
2022-11-04 05:03:57.799252;Hang Seng Index;16,213.68
2022-11-04 06:04:17.109661;Hang Seng Index;16,376.53
2022-11-04 10:44:22.656585;Hang Seng Index;16,161.14
2022-11-04 11:03:50.901463;Hang Seng Index;16,161.14
2022-11-04 12:03:43.655241;Hang Seng Index;16,161.14
2022-11-04 13:03:47.081667;Hang Seng Index;16,161.14
2022-11-04 14:03:45.107504;Hang Seng Index;16,161.14
2022-11-04 15:03:47.429323;Hang Seng Index;16,161.14
2022-11-04 16:03:34.558717;Hang Seng Index;16,161.14
2022-11-04 17:03:51.401280;Hang Seng Index;16,161.14
2022-11-04 19:56:36.366804;Hang Seng Index;16,161.14
2022-11-04 20:03:30.432311;Hang Seng Index;16,161.14
2022-11-04 21:03:42.361865;Hang Seng Index;16,161.14
2022-11-04 22:03:41.589918;Hang Seng Index;16,161.14
2022-11-04 23:03:32.370047;Hang Seng Index;16,161.14
2022-11-05 00:03:42.048358;Hang Seng Index;16,161.14
2022-11-05 01:03:37.565526;Hang Seng Index;16,161.14
2022-11-05 02:04:04.368658;Hang Seng Index;16,161.14
2022-11-05 03:04:04.445700;Hang Seng Index;16,161.14
2022-11-05 04:04:13.359475;Hang Seng Index;16,161.14
2022-11-05 05:04:24.395086;Hang Seng Index;16,161.14
2022-11-05 06:04:23.446537;Hang Seng Index;16,161.14
2022-11-05 08:51:37.587210;Hang Seng Index;16,161.14
2022-11-05 09:08:13.507737;Hang Seng Index;16,161.14
2022-11-05 10:04:14.572801;Hang Seng Index;16,161.14
2022-11-05 11:04:23.931395;Hang Seng Index;16,161.14
2022-11-05 12:04:08.526059;Hang Seng Index;16,161.14
2022-11-05 13:04:14.516829;Hang Seng Index;16,161.14
2022-11-05 14:04:12.153894;Hang Seng Index;16,161.14
2022-11-05 15:03:51.919736;Hang Seng Index;16,161.14
2022-11-05 16:04:18.551009;Hang Seng Index;16,161.14
2022-11-05 17:04:18.894592;Hang Seng Index;16,161.14
2022-11-05 18:04:09.478520;Hang Seng Index;16,161.14
2022-11-05 19:04:33.234241;Hang Seng Index;16,161.14
2022-11-05 20:05:13.184888;Hang Seng Index;16,161.14
2022-11-05 21:04:16.784012;Hang Seng Index;16,161.14
2022-11-05 22:04:18.979320;Hang Seng Index;16,161.14
2022-11-05 23:04:02.765174;Hang Seng Index;16,161.14
2022-11-06 00:04:11.944842;Hang Seng Index;16,161.14
2022-11-06 01:04:17.495732;Hang Seng Index;16,161.14
2022-11-06 02:04:08.034616;Hang Seng Index;16,161.14
2022-11-06 03:04:06.298575;Hang Seng Index;16,161.14
2022-11-06 04:04:24.267082;Hang Seng Index;16,161.14
2022-11-06 05:04:10.846577;Hang Seng Index;16,161.14
2022-11-06 06:04:29.157384;Hang Seng Index;16,161.14
2022-11-06 07:04:18.141379;Hang Seng Index;16,161.14
2022-11-06 08:04:20.051100;Hang Seng Index;16,161.14
2022-11-06 11:03:39.846496;Hang Seng Index;16,161.14
2022-11-06 12:04:13.423079;Hang Seng Index;16,161.14
2022-11-06 13:04:18.826416;Hang Seng Index;16,161.14
2022-11-06 14:04:10.434540;Hang Seng Index;16,161.14
2022-11-06 15:04:07.950366;Hang Seng Index;16,161.14
