Date,Open,High,Low,Close,Adj Close,Volume
11/15/2021,25437.99023,25483.25977,25230.33008,25390.91016,25390.91016,1155801200
11/16/2021,25446.65039,25746.71094,25410.86914,25713.7793,25713.7793,1528784400
11/17/2021,25667.81055,25667.81055,25520.66992,25650.08008,25650.08008,1193809400
11/18/2021,25369.88086,25414.21094,25222.59961,25319.7207,25319.7207,1342851200
11/19/2021,24934.40039,25077.15039,24825.42969,25049.9707,25049.9707,1640364600
11/22/2021,25057.06055,25099.94922,24869.93945,24951.33984,24951.33984,1510358900
11/23/2021,24688.99023,24794.7207,24618.74023,24651.58008,24651.58008,1486270300
11/24/2021,24672.09961,24851.5293,24557.63086,24685.5,24685.5,1791031000
11/25/2021,24699.68945,24762.60938,24532.82031,24740.16016,24740.16016,1188635100
11/26/2021,24502.67969,24502.67969,24062.25977,24080.51953,24080.51953,1804123100
11/29/2021,23910.49023,24134.32031,23774.31055,23852.24023,23852.24023,1741008500
11/30/2021,23782.85938,23888.36914,23175.36914,23475.25977,23475.25977,3344858000
12/1/2021,23595.57031,23864.30078,23537.65039,23658.91992,23658.91992,2118634900
12/2/2021,23524.05078,23807,23517.51953,23788.92969,23788.92969,2328241400
12/3/2021,23675.25977,23802.76953,23451.92969,23766.68945,23766.68945,2717889700
12/6/2021,23420.43945,23628.30078,23314.9707,23349.38086,23349.38086,2357402800
12/7/2021,23704.50977,23989.7793,23512.5,23983.66016,23983.66016,2120328800
12/8/2021,24090.01953,24097.98047,23907.30078,23996.86914,23996.86914,1778623400
12/9/2021,24168.41016,24324.83984,24153.7207,24254.85938,24254.85938,1743251800
12/10/2021,24070.56055,24214.67969,23916.63086,23995.7207,23995.7207,1413938100
12/13/2021,24242.25977,24385.43945,23936.92969,23954.58008,23954.58008,1538105600
12/14/2021,23693.73047,23817.58008,23560.13086,23635.94922,23635.94922,1553577700
12/15/2021,23658.03906,23745.75,23325.91992,23420.75977,23420.75977,1597121900
12/16/2021,23287.92969,23526.05078,23155.61914,23475.5,23475.5,1498950200
12/17/2021,23463.7793,23463.7793,23158.69922,23192.63086,23192.63086,2188694200
12/20/2021,23079.83008,23145.30078,22665.25,22744.85938,22744.85938,1681615600
12/21/2021,22795.57031,23100.17969,22730.08008,22971.33008,22971.33008,1651194400
12/22/2021,23221.13086,23258.71094,22979.75977,23102.33008,23102.33008,1230794100
12/23/2021,23141.78906,23264.75,23027.15039,23193.64063,23193.64063,1387904000
12/24/2021,23375.99023,23383.18945,23186.57031,23223.75977,23223.75977,622879700
12/28/2021,23282.34961,23319.43945,23099.48047,23280.56055,23280.56055,1433026700
12/29/2021,23253.98047,23253.98047,23008.2793,23086.53906,23086.53906,828414400
12/30/2021,23130.44922,23248.25977,22990.24023,23112.00977,23112.00977,1008366000
12/31/2021,23553.78906,23590.11914,23394.76953,23397.66992,23397.66992,675936400
1/3/2022,23510.53906,23605.0293,23193.18945,23274.75,23274.75,734331100
1/4/2022,23400.61914,23439.30078,23146.89063,23289.83984,23289.83984,1760141200
1/5/2022,23323.76953,23323.76953,22851.5,22907.25,22907.25,2768859000
1/6/2022,22843.19922,23082.94922,22709.59961,23072.85938,23072.85938,1765786100
1/7/2022,23318.91992,23497.5,23162.84961,23493.38086,23493.38086,2602290600
1/10/2022,23523.90039,23790.51953,23399.08984,23746.53906,23746.53906,2544917200
1/11/2022,23678.68945,23863.83008,23595.00977,23739.06055,23739.06055,2331482400
1/12/2022,24069.51953,24402.16992,24069.51953,24402.16992,24402.16992,2489491200
1/13/2022,24561.48047,24561.48047,24289.18945,24429.76953,24429.76953,2160545100
1/14/2022,24185.85938,24383.32031,24140.81055,24383.32031,24383.32031,1840017300
1/17/2022,24390.28906,24408.88086,24111.74023,24218.0293,24218.0293,1633511900
1/18/2022,24274.75,24385.05078,24009.71094,24112.7793,24112.7793,1638866400
1/19/2022,24229.7793,24286.14063,23951.59961,24127.84961,24127.84961,1729894900
1/20/2022,24263.15039,24952.34961,24233.17969,24952.34961,24952.34961,2531394600
1/21/2022,24897.58984,24982.0293,24723.91992,24965.55078,24965.55078,2370146600
1/24/2022,24693.42969,24795.53906,24570.86914,24656.46094,24656.46094,1871541000
1/25/2022,24251.2207,24366.89063,24001.96094,24243.60938,24243.60938,2183354400
1/26/2022,24342.90039,24487.30078,24123.69922,24289.90039,24289.90039,1959621300
1/27/2022,23952.00977,23952.00977,23565,23807,23807,1846826800
1/28/2022,23818.93945,23848.01953,23507.0293,23550.08008,23550.08008,1777188300
1/31/2022,23624.14063,23975.69922,23469.75977,23802.25977,23802.25977,995464900
2/4/2022,24392.85938,24609.33008,24140.89063,24573.28906,24573.28906,1832921400
2/7/2022,24609.42969,24616.5,24365.89063,24579.55078,24579.55078,0
2/8/2022,24548.05078,24548.05078,24149.75,24329.49023,24329.49023,2294892100
2/9/2022,24727.33984,24896.42969,24690.44922,24829.99023,24829.99023,2511123700
2/10/2022,25050.58984,25050.58984,24649.74023,24924.34961,24924.34961,2097934100
2/11/2022,24837.19922,24957.81055,24732.65039,24906.66016,24906.66016,2514710500
2/14/2022,24725.09961,24733.10938,24482.85938,24556.57031,24556.57031,1978812000
2/15/2022,24458.5,24570.08984,24219.90039,24355.71094,24355.71094,2625908900
2/16/2022,24618.30078,24728.92969,24548.05078,24718.90039,24718.90039,1815173000
2/17/2022,24722.88086,24861.82031,24523.94922,24792.76953,24792.76953,1566206700
2/18/2022,24633.66016,24763.36914,24284.5293,24327.71094,24327.71094,1677848400
2/21/2022,24109.58984,24231.08008,23998.76953,24170.07031,24170.07031,1618294600
2/22/2022,23692.53906,23813.64063,23336.7793,23520,23520,2057604700
2/23/2022,23617.9707,23745.07031,23500.91992,23660.2793,23660.2793,1416047900
2/24/2022,23268.0293,23376.36914,22786.39063,22901.56055,22901.56055,2997726900
2/25/2022,22908.09961,23046.85938,22718.15039,22767.17969,22767.17969,2524255600
2/28/2022,22818.16992,22818.16992,22406.11914,22713.01953,22713.01953,2833849000
3/1/2022,22739.83984,22937.56055,22591.73047,22761.71094,22761.71094,1796043100
3/2/2022,22568.35938,22712.43945,22299.14063,22343.91992,22343.91992,2227896000
3/3/2022,22434.25977,22543.41992,22378.10938,22467.33984,22467.33984,1937725100
