Column1,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': None, 'name': 'Post Magazine'}","dpa, dpa",Greek ministries confirm border guards intercepted 92 naked migrants,"he incident occurred on Friday, according to the Greek Citizen Protection Ministry Greek Migration Minister Notis Mitarakis accused Ankara of sending the people across the border.",https://www.scmp.com/news/world/europe/article/3196113/greek-ministries-confirm-border-guards-intercepted-92-naked,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/402e2edb-67cb-4f8c-9293-1d08242fe79b_155d41cf.jpg?itok=N85Gio8j&v=1665857556,10/16/2022 2:29,"Published: 2:29am, 16 Oct, 2022
Updated: 2:29am, 16 Oct, 2022"
11,"{'id': None, 'name': 'Post Magazine'}","Associated Press, Associated Press",Trial delayed in Florida ‘killer-clown’ case after new disclosure,"Sheila Keen Warren is accused of dressing up as clown in 1990 and fatally shooting Marlene Warren, the wife of a man she later married.",https://www.scmp.com/news/world/united-states-canada/article/3196112/trial-delayed-florida-killer-clown-case-after-new,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/279917b1-a5b9-4622-9af7-be17e09d20a5_5351c2d1.jpg?itok=RBmaaOkU&v=1665854754,10/16/2022 1:31,"Published: 1:31am, 16 Oct, 2022
Updated: 1:31am, 16 Oct, 2022"
12,"{'id': None, 'name': 'Post Magazine'}","Agence France-Presse, Agence France-Presse",Manchester United’s Mason Greenwood charged with attempted rape and assault,The 21-year-old England international is due to appear at Manchester and Salford Magistrates’ Court on Monday facing three counts relating to the same woman.,https://www.scmp.com/sport/football/article/3196111/manchester-uniteds-mason-greenwood-charged-attempted-rape-and,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/8bdce6a1-aecb-4846-9790-9496adac32b4_285c72ce.jpg?itok=ixTSmPC9&v=1665853283,10/16/2022 1:02,"Published: 1:02am, 16 Oct, 2022
Updated: 1:02am, 16 Oct, 2022"
13,"{'id': None, 'name': 'Post Magazine'}","Associated Press, Associated Press","Man drowns as storms batter Greek island of Crete, causing widespread flooding",The man’s car had been swept away by raging waters in the town of Agia Pelagia. State-run Athens News Agency said a woman who was reportedly in the same vehicle is missing.,https://www.scmp.com/news/world/europe/article/3196110/man-drowns-storms-batter-greek-island-crete-causing-widespread,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/7f886c7d-c392-4e38-ae88-558121bff294_ec990c56.jpg?itok=IeE9ED3a&v=1665851934,10/16/2022 0:41,"Published: 12:41am, 16 Oct, 2022
Updated: 12:41am, 16 Oct, 2022"
14,"{'id': None, 'name': 'Post Magazine'}","Cliff Buddle, Cliff Buddle",Hong Kong arrivals confronted by the UK’s freewheeling democracy,Emigrants from the city now live in a place where the government is chosen in a direct election. But they may be scratching their heads at recent chaotic events,https://www.scmp.com/comment/opinion/article/3196109/hong-kong-arrivals-confronted-uks-freewheeling-democracy,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_opinion/public/d8/images/canvas/2022/10/15/1f14ea7c-3f8c-4257-9a29-fe7121e1d01f_8c75dcfa.jpg?itok=5tt2GtbL&v=1665849423,10/15/2022 23:57,"Its lawmakers voted for their favourite candidate, whittling down the field. The winner, in every poll, was then-finance minister Rishi Sunak. But the final decision lay with the partys relatively ol… [+2532 chars]"
15,"{'id': None, 'name': 'Post Magazine'}","dpa, dpa",Brazil’s former football superstar Ronaldo reveals battle with depression,"The former PSV, Barcelona, Inter and Real Madrid superstar has been in therapy for depression for two and a half years.",https://www.scmp.com/news/world/americas/article/3196108/brazils-former-football-superstar-ronaldo-reveals-battle,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/529aed53-55cb-4a29-9293-822370fdaa02_8b12f4e1.jpg?itok=xjx_DDQh&v=1665847542,10/15/2022 23:25,"And O Fenomeno was asked further about his own struggles in an interview with Marca, confirming he had suffered from depression.
Today I am in therapy, Ronaldo said. I have been in therapy for two a… [+1229 chars]"
16,"{'id': None, 'name': 'Post Magazine'}","dpa, dpa","Germany’s chancellor calls for reform, expansion of European Union","He also highlighted the importance of not overlooking concerns of smaller EU states, as he addressed a conference of European social democrats.",https://www.scmp.com/news/world/europe/article/3196106/germanys-chancellor-calls-reform-expansion-european-union,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/39650f67-461c-4da4-bac4-93b4bb71df71_9f0b5c70.jpg?itok=zrm__R_D&v=1665845287,10/15/2022 22:48,"Published: 10:48pm, 15 Oct, 2022
Updated: 10:48pm, 15 Oct, 2022"
17,"{'id': None, 'name': 'Post Magazine'}","Bloomberg, Bloomberg","K-pop sensation BTS dazzles, in what could be its last concert for years, to support South Korea’s bid to host World Expo",The concert in Busan is to promote South Korea’s second-biggest city as a candidate to host the 2030 World Expo and drew tens of thousands of fans from all over the world.,https://www.scmp.com/news/asia/east-asia/article/3196104/k-pop-sensation-bts-dazzles-what-could-be-its-last-concert,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/15/12ffa683-7851-4878-ad12-c61c2dcb357c_1887423c.jpg?itok=lPRfKxeu&v=1665844103,10/15/2022 22:28,"Published: 10:28pm, 15 Oct, 2022
Updated: 10:28pm, 15 Oct, 2022"
18,"{'id': None, 'name': 'Post Magazine'}","Orange Wang,Wendy Wu, Orange Wang,Wendy Wu","China will ‘unwaveringly’ back private sector but scrutiny to stay, Communist Party congress spokesman says",All eyes are on China’s 20th party congress for signals on the way forward for a private sector hard-hit by the pandemic and regulatory crackdowns.,https://www.scmp.com/economy/china-economy/article/3196102/china-will-unwaveringly-back-private-sector-scrutiny-stay,https://cdn.i-scmp.com/sites/default/files/styles/og_20th_party_congress/public/d8/images/canvas/2022/10/17/3bb7fc9b-4364-4963-b1db-7be7bb710c65_c32e5bdb.jpg?itok=1T8yiz5i&v=1665971215,10/15/2022 22:18,"Published: 10:18pm, 15 Oct, 2022
Updated: 9:46am, 17 Oct, 2022"
19,"{'id': None, 'name': 'Post Magazine'}","Victor Ting, Victor Ting","Coronavirus: 46 cases found for every 100 buildings issued with testing notice, study finds","Testing orders uncovered on average 29 infections for every 100 blocks during first four waves and 46 in fifth one, University of Hong Kong team finds, calling strategy inefficient.",https://www.scmp.com/news/hong-kong/health-environment/article/3196099/coronavirus-46-cases-found-every-100-buildings,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_coronavirus_generic/public/d8/images/canvas/2022/10/15/a69a653b-a25a-4cbf-8fb5-060296072a8f_3dbe1645.jpg?itok=3ASeMd14&v=1665841642,10/15/2022 21:47,"Published: 9:47pm, 15 Oct, 2022
Updated: 9:47pm, 15 Oct, 2022"
